"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2019",52921.968891,
"AUT","GDP","TOT","USD_CAP","A","2019",59716.251399,
"BEL","GDP","TOT","USD_CAP","A","2019",55804.725289,
"CAN","GDP","TOT","USD_CAP","A","2019",49832.414539,
"CZE","GDP","TOT","USD_CAP","A","2019",44223.295751,
"DNK","GDP","TOT","USD_CAP","A","2019",59884.11738,
"FIN","GDP","TOT","USD_CAP","A","2019",51811.599332,
"FRA","GDP","TOT","USD_CAP","A","2019",50226.680167,
"DEU","GDP","TOT","USD_CAP","A","2019",57411.520685,"P"
"GRC","GDP","TOT","USD_CAP","A","2019",31155.301081,
"HUN","GDP","TOT","USD_CAP","A","2019",34645.565383,
"ISL","GDP","TOT","USD_CAP","A","2019",59644.706533,
"IRL","GDP","TOT","USD_CAP","A","2019",89759.238887,
"ITA","GDP","TOT","USD_CAP","A","2019",45799.741922,
"JPN","GDP","TOT","USD_CAP","A","2019",42427.125075,
"KOR","GDP","TOT","USD_CAP","A","2019",43410.152957,
"LUX","GDP","TOT","USD_CAP","A","2019",119364.151427,
"MEX","GDP","TOT","USD_CAP","A","2019",20244.557477,
"NLD","GDP","TOT","USD_CAP","A","2019",60207.9957,
"NZL","GDP","TOT","USD_CAP","A","2019",45518.307468,
"NOR","GDP","TOT","USD_CAP","A","2019",69915.01766,
"POL","GDP","TOT","USD_CAP","A","2019",34592.873746,
"PRT","GDP","TOT","USD_CAP","A","2019",37299.182306,
"SVK","GDP","TOT","USD_CAP","A","2019",33459.324263,
"ESP","GDP","TOT","USD_CAP","A","2019",43135.741954,
"SWE","GDP","TOT","USD_CAP","A","2019",56404.297122,
"CHE","GDP","TOT","USD_CAP","A","2019",72668.72555,
"TUR","GDP","TOT","USD_CAP","A","2019",28011.322789,
"GBR","GDP","TOT","USD_CAP","A","2019",49220.202708,
"USA","GDP","TOT","USD_CAP","A","2019",64690.272395,
"CHL","GDP","TOT","USD_CAP","A","2019",25509.445481,
"CHN","GDP","TOT","USD_CAP","A","2019",16624.52398,
"COL","GDP","TOT","USD_CAP","A","2019",16484.762795,
"EST","GDP","TOT","USD_CAP","A","2019",39068.367072,
"IND","GDP","TOT","USD_CAP","A","2019",7103.830936,
"IDN","GDP","TOT","USD_CAP","A","2019",12481.910741,
"ISR","GDP","TOT","USD_CAP","A","2019",40663.6287,
"RUS","GDP","TOT","USD_CAP","A","2019",29967.119348,
"SVN","GDP","TOT","USD_CAP","A","2019",42118.699287,
"ZAF","GDP","TOT","USD_CAP","A","2019",14654.557239,
"OECD","GDP","TOT","USD_CAP","A","2019",46663.58607,"P"
"OECDE","GDP","TOT","USD_CAP","A","2019",46339.16657,"P"
"LVA","GDP","TOT","USD_CAP","A","2019",32825.168517,
"BRA","GDP","TOT","USD_CAP","A","2019",15424.038754,
"LTU","GDP","TOT","USD_CAP","A","2019",39992.555913,
"SAU","GDP","TOT","USD_CAP","A","2019",49055.641241,
"EA19","GDP","TOT","USD_CAP","A","2019",50338.91382,
"ARG","GDP","TOT","USD_CAP","A","2019",23003.277177,
"CRI","GDP","TOT","USD_CAP","A","2019",22739.241909,
"BGR","GDP","TOT","USD_CAP","A","2019",25158.782002,
"HRV","GDP","TOT","USD_CAP","A","2019",31645.33166,
"CYP","GDP","TOT","USD_CAP","A","2019",44038.86115,
"MLT","GDP","TOT","USD_CAP","A","2019",49155.630788,
"ROU","GDP","TOT","USD_CAP","A","2019",33028.052566,
"MKD","GDP","TOT","USD_CAP","A","2019",18007.14396,"E"
"ZMB","GDP","TOT","USD_CAP","A","2019",3514.688008,
"HKG","GDP","TOT","USD_CAP","A","2019",62102.600449,"E"
"MDG","GDP","TOT","USD_CAP","A","2019",1702.648643,"E"
"MAR","GDP","TOT","USD_CAP","A","2019",8807.802665,"E"
"SGP","GDP","TOT","USD_CAP","A","2019",102792.722332,
"EU27_2020","GDP","TOT","USD_CAP","A","2019",47452.417297,
"ALB","GDP","TOT","USD_CAP","A","2019",14407.379403,
"SRB","GDP","TOT","USD_CAP","A","2019",19404.882561,
"GEO","GDP","TOT","USD_CAP","A","2019",15621.873636,
"CMR","GDP","TOT","USD_CAP","A","2019",3900.880855,
"SEN","GDP","TOT","USD_CAP","A","2019",3530.096494,
