Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","8.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","10.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","012","Algeria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","016","American Samoa","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","024","Angola","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","4.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","5.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","032","Argentina","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","1.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","1.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","051","Armenia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
